"","ProTrek-35M","ProTrek-650M","ESM2","SaProt","ESM3","ESM-IF","OpenFold"
"OneProt-5",0.0319694497040149,0.00102416333240454,0.0378002170528049,0.480266614092217,0.0262237762237762,0.00101540151763768,0.0732323232323232
"Text",0.649212071392224,0.00170633028198824,0.540573098228573,0.221438302837738,0.0259771417448597,0.00168993252373719,0.00754623449045171
"Pocket",0.000666000666000666,0.00177293686609683,0.000862975761249014,0.00336133947476503,0.00116550116550117,0.0439791888749782,0.00432900432900433
"Pocket+Text",0.0487364240756726,0.00101540151763768,0.0810102723597699,0.748591898172239,0.017833565524825,0.00100668995330391,0.0222768899698539
"SG",0.000666000666000666,0.00177293686609683,0.000862975761249014,0.00336133947476503,0.00116550116550117,0.00540335603347863,0.00432900432900433
"SG+Text",0.000625790079642251,0.0131801517376953,0.000139243712187587,0.00100668995330391,0.00101540151763768,0.000401039044682549,0.0032842251856501
"SG+Pocket",0.000310800310800311,0.00102416333240454,0.000442145021104109,0.017833565524825,0.000582750582750583,0.0167463490901998,0.00252525252525253
"OneProt-4",0.0172688724201217,0.00100668995330391,0.000803414935660746,0.00209258466211306,0.00211656160257058,0.000998028526837708,0.00559708066178812
"ST",0.000630636059809067,0.000406639274753024,0.000139944282214668,0.0196923220220705,0.00102416333240454,0.000403832264974162,0.00331872366133435
"ST+Text",0.0139597184799983,0.00175613253408733,0.00981493964732204,0.194822678819957,0.313963748372945,0.00173943010959051,0.463168736297981
"ST+pocket",0.000666000666000666,0.00177293686609683,0.000862975761249014,0.00336133947476503,0.00116550116550117,0.00175613253408733,0.00432900432900433
"ST+Pocket+Text",0.133911612252775,0.000398259578997601,0.317874213686054,0.872631627174092,0.0108362854313301,0.000395493832992502,0.00491749253026291
"ST+SG",0.000310800310800311,0.00102416333240454,0.000442145021104109,0.0296622589113772,0.382867132867133,0.00101540151763768,0.222414885026659
"ST+SG+Text",0.00272194902918454,0.000620969920264772,0.00197330816320082,0.0720818834864542,0.0485344586258993,0.000616175518027334,0.163168507839387
"SG+ST+Pocket",0.000666000666000666,0.00177293686609683,0.000862975761249014,0.0122992130117101,0.00116550116550117,1,0.00432900432900433
