"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",0.532246162773191,0.00806120767165018,0.000582750582750583,0.259072415957225,0.00118082340084609,0.14812903067945,0.0001998001998002,0.14812903067945,0.00108225108225108,0.196969696969697,0.00108225108225108,0.215700708473589,0.00116770899573003,0.199653528057104,0.00159456225528554,1
"Text",0.994864081134647,0.532246162773191,0.000582750582750583,0.997668997668998,0.00118082340084609,0.925585426080351,0.0001998001998002,0.995670995670996,0.00108225108225108,0.979437229437229,0.00108225108225108,0.998949800883173,0.00116770899573003,0.998585524103375,0.00159456225528554,1
"Pocket",1,1,0.525668101220341,1,0.837797270251402,1,0.923950150721598,1,0.977398092589583,1,0.997668997668998,0.999307836058853,0.999427030914958,0.999533648444837,0.999341112482256,1
"Pocket+Text",0.780962887495218,0.003996003996004,0.000155400155400155,0.52106318988918,0.000461443189727257,0.259072415957225,4.11353352529823e-05,0.135717260787586,0.000333000333000333,0.348792880398368,0.000333000333000333,0.225754593972495,0.000457423955131802,0.457869787494876,0.000694781958201405,1
"SG",0.999237571582805,0.999237571582805,0.192284002989883,0.999684831437793,0.521318268897617,0.999237571582805,0.650107116041812,0.999237571582805,0.969677146658142,0.999237571582805,0.983612875773614,0.999528671093998,0.999693505115514,0.999696359208951,0.999548367986284,0.999523658154312
"SG+Text",0.885933566125931,0.0996986313769092,0.000582750582750583,0.780962887495218,0.00118082340084609,0.532246162773191,0.0001998001998002,0.563720484553809,0.00108225108225108,0.625825715578126,0.00806120767165018,0.716679321723865,0.0026777564815662,0.783260324905008,0.0128852703724833,1
"SG+Pocket",1,1,0.0924084721389043,1,0.386211390099631,1,0.517690302318477,1,0.937415576038032,1,0.990841079060067,0.99965019580377,0.999392757008006,0.999784920534754,0.999662776579997,1
"OneProt-4",0.885933566125931,0.00757575757575758,0.000582750582750583,0.890492050841454,0.00118082340084609,0.5,0.0001998001998002,0.532246162773191,0.00108225108225108,0.739445008520547,0.00108225108225108,0.333035855708346,0.00116770899573003,0.78197718170508,0.00159456225528554,1
"ST",1,1,0.0314640514781511,1,0.040345944526922,1,0.0784642049725727,1,0.532246162773191,0.998917748917749,0.900301368623091,0.998949800883173,0.940151685544365,0.999255789735604,0.99524130261646,1
"ST+Text",0.845238095238095,0.0324675324675325,0.000582750582750583,0.697808768974293,0.00118082340084609,0.436279515446191,0.0001998001998002,0.315177763180932,0.00216450216450216,0.532246162773191,0.00757575757575758,0.333687409152319,0.0026777564815662,0.5,0.0153577365493556,1
"ST+pocket",1,1,0.00407925407925408,1,0.0224572753764903,0.994864081134647,0.0125074220776567,1,0.130748088095573,0.995670995670996,0.532246162773191,0.998949800883173,0.422464264962551,0.999255789735604,0.903526434416406,1
"ST+Pocket+Text",0.823775512385659,0.00168066973738251,0.00107035486579256,0.807503226971937,0.000708745536398896,0.333687409152319,0.000512081666202269,0.717487609746118,0.00168066973738251,0.716679321723865,0.00168066973738251,0.525900071290706,0.000701741140659922,0.546438753095051,0.0010108390316258,0.999307836058853
"ST+SG",0.999246716281979,0.999246716281979,0.000856747843708775,0.99968774128534,0.000449456394057046,0.998217913593656,0.00084798821360293,0.999246716281979,0.0768796987099468,0.998217913593656,0.627783577891551,0.999533648444837,0.521449333384486,0.999699194828783,0.988978687194328,0.999528671093998
"ST+SG+Text",0.834606558737723,0.00214559581399479,0.000701741140659922,0.583791882796194,0.000445507953793249,0.256971721442715,0.000308087759013667,0.258145462683605,0.00115468516699009,0.551931163265748,0.00115468516699009,0.5,0.000441582997426345,0.521582845329082,0.000667395415506493,0.999533648444837
"SG+ST+Pocket",0.999008422317996,0.999008422317996,0.00102257159400898,0.999538590308741,0.000680998845593999,0.991189821165599,0.000494708562555595,0.999008422317996,0.00716589412662323,0.989410795625714,0.123584424883054,0.999349264750204,0.0149197056814644,0.999558004953453,0.526895106516349,0.999341112482256
"ESM2",0.000582750582750583,0.000582750582750583,0.000291375291375291,0.000155400155400155,0.000715795241300679,0.000582750582750583,8.74125874125874e-05,0.000582750582750583,0.000582750582750583,0.000582750582750583,0.000582750582750583,0.00107035486579256,0.000708745536398896,0.000701741140659922,0.00102257159400898,0.525668101220341
